         4809 function calls (4767 primitive calls) in 0.039 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:841(create_module)
        1    0.000    0.000    0.000    0.000 d:\College\IIITD\Others\OOPD_Exec\SOC_Redesign\Register.py:9(Register)
        1    0.000    0.000    0.000    0.000 d:\College\IIITD\Others\OOPD_Exec\SOC_Redesign\Port.py:31(Output_Port)
        1    0.000    0.000    0.000    0.000 d:\College\IIITD\Others\OOPD_Exec\SOC_Redesign\Port.py:25(Set_Input_Port)
        1    0.000    0.000    0.000    0.000 d:\College\IIITD\Others\OOPD_Exec\SOC_Redesign\Port.py:19(Input_Port)
        1    0.000    0.000    0.000    0.000 d:\College\IIITD\Others\OOPD_Exec\SOC_Redesign\Port.py:6(Port)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 d:\College\IIITD\Others\OOPD_Exec\SOC_Redesign\Custom_Exceptions.py:2(Divide_By_Zero)
        1    0.000    0.000    0.000    0.000 d:\College\IIITD\Others\OOPD_Exec\SOC_Redesign\Memory.py:68(Data_Memory)
        1    0.000    0.000    0.000    0.000 d:\College\IIITD\Others\OOPD_Exec\SOC_Redesign\Memory.py:51(Set_Data)
        1    0.000    0.000    0.000    0.000 d:\College\IIITD\Others\OOPD_Exec\SOC_Redesign\Custom_Exceptions.py:3(__init__)
        1    0.000    0.000    0.000    0.000 d:\College\IIITD\Others\OOPD_Exec\SOC_Redesign\Memory.py:73(Inst_Memory)
        1    0.000    0.000    0.000    0.000 d:\College\IIITD\Others\OOPD_Exec\SOC_Redesign\Custom_Exceptions.py:7(Invalid_Instruction)
        1    0.000    0.000    0.000    0.000 d:\College\IIITD\Others\OOPD_Exec\SOC_Redesign\Memory.py:24(Get_Memory_Size)
        1    0.000    0.000    0.000    0.000 d:\College\IIITD\Others\OOPD_Exec\SOC_Redesign\Custom_Exceptions.py:12(Memory_Out_Of_Bound)
        1    0.000    0.000    0.000    0.000 d:\College\IIITD\Others\OOPD_Exec\SOC_Redesign\Custom_Exceptions.py:8(__init__)
        1    0.000    0.000    0.000    0.000 d:\College\IIITD\Others\OOPD_Exec\SOC_Redesign\Decode.py:16(__init__)


